typ, name, text, locale
table,ontap_logical_disks,Storage - Volumes,en
table,ontap_plex_extents,Storage - Plexes,en
table,ontap_raid_group_extents,Storage - Raid Groups,en
table,ontap_storage_systems,Storage - Filers,en
table,ontap_storage_volumes,Storage - LUNs,en
table,ontap_volume_metrics_rollup,Storage Performance - Volumes, en
table,operating_system,OS,en
table,registry_items,Registry,en
table,resource_pools,Resource Pools,en
table,server_builds,EVM Builds,en
table,service_template,Catalog Item,en
table,service_template_catalog,Catalog,en
table,snia_local_file_system,Storage - Local File Systems,en
table,storages,Datastores,en
table,storage,Datastore,en
table,storage_files,Datastore Files,en
table,storage_file,Datastore File,en
table,switches,vSwitches,en
table,host_services,Services,en
table,template_cloud,Image,en
table,template_infra,Template,en
table,vdi_controller,Broker,en
table,vdi_desktop,Desktop,en
table,vdi_desktop_pool,Desktop Pool,en
table,vdi_endpoint_device,Endpoint Device,en
table,vdi_farm,Farm,en
table,vdi_session,VDI Session,en
table,vdi_user,VDI User,en
table,vms,VMs,en
table,vm_vdi,VDI VM,en
table,vm,VM and Instance,en
table,vm_cloud,Instance,en
table,vm_infra,Virtual Machine,en
table,vm_or_template,Virtual Machine,en
table,zone,Zone,en
table,zones,Zones,en
#
# Column entries
# - Model specific entries follow the generic entry for each column
#
# Characters not allowed in column descriptions: ":" and "."
#
column,abs_max_cpu_usage_rate_average_timestamp,CPU - Absolute Max Usage Rate (Timestamp),en
column,abs_max_cpu_usage_rate_average_value,CPU - Absolute Max Usage Rate (%),en
column,abs_max_disk_usage_rate_average_timestamp,Disk I/O - Absolute Max Usage Rate (Timestamp),en
column,abs_max_disk_usage_rate_average_value,Disk I/O - Absolute Max Usage Rate (KBps),en
column,abs_max_mem_usage_absolute_average_timestamp,Memory - Absolute Max Usage Rate (Timestamp),en
column,abs_max_mem_usage_absolute_average_value,Memory - Absolute Max Usage Rate (%),en
column,abs_max_net_usage_rate_average_timestamp,Network I/O - Absolute Max Usage Rate (Timestamp),en
column,abs_max_net_usage_rate_average_value,Network I/O - Absolute Max Usage Rate (KBps),en
column,abs_min_cpu_usage_rate_average_timestamp,CPU - Absolute Min Usage Rate (Timestamp),en
column,abs_min_cpu_usage_rate_average_value,CPU - Absolute Min Usage Rate (%),en
column,abs_min_disk_usage_rate_average_timestamp,Disk I/O - Absolute Min Usage Rate (Timestamp),en
column,abs_min_disk_usage_rate_average_value,Disk I/O - Absolute Min Usage Rate (KBps),en
column,abs_min_mem_usage_absolute_average_timestamp,Memory - Absolute Min Usage Rate (Timestamp),en
column,abs_min_mem_usage_absolute_average_value,Memory - Absolute Min Usage Rate (%),en
column,abs_min_net_usage_rate_average_timestamp,Network I/O - Absolute Min Usage Rate (Timestamp),en
column,abs_min_net_usage_rate_average_value,Network I/O - Absolute Min Usage Rate (KBps),en
column,acctid,Account ID,en
column,accttype,Account Type,en
column,action_type_description,Type,en
column,active,Active,en
column,admin_disabled,Lockdown Mode,en
column,aggregate_cpu_speed,Total CPU Speed,en
column,aggregate_logical_cpus,Total Number of Logical CPUs,en
column,aggregate_physical_cpus,Total Number of Physical CPUs,en
column,aggregate_memory,Total Memory,en
column,allocated_memory,Allocated Memory,en
column,allocated_vcpu,Allocated vCPU,en
column,allocated_storage,Allocated Storage,en
column,avg_latency,Usage (All) - Latency in MicroSeconds for All Operations Avg,en
column,avg_latency_max,Usage (All) - Latency in MicroSeconds for All Operations Avg Max,en
column,avg_latency_min,Usage (All) - Latency in MicroSeconds for All Operations Avg Min,en
column,bios,BIOS,en
column,bios_location,BIOS Location,en

column,chain_id,Chain ID,en

column,cifs_other_latency,Usage (CIFS) - Time for Other Operations Avg,en
column,cifs_other_latency_max,Usage (CIFS) - Time for Other Operations Avg Max,en
column,cifs_other_latency_min,Usage (CIFS) - Time for Other Operations Avg Min,en
column,cifs_other_ops,Usage (CIFS) - Number of Other Operations per Second,en
column,cifs_other_ops_max,Usage (CIFS) - Number of Other Operations per Second Max,en
column,cifs_other_ops_min,Usage (CIFS) - Number of Other Operations per Second Min,en
column,cifs_read_data,Usage (CIFS) - Bytes Read per Second,en
column,cifs_read_data_max,Usage (CIFS) - Bytes Read per Second Max,en
column,cifs_read_data_min,Usage (CIFS) - Bytes Read per Second Min,en
column,cifs_read_latency,Usage (CIFS) - Time for Reads Avg,en
column,cifs_read_latency_max,Usage (CIFS) - Time for Reads Avg Max,en
column,cifs_read_latency_min,Usage (CIFS) - Time for Reads Avg Min,en
column,cifs_read_ops,Usage (CIFS) - Number of Reads per Second,en
column,cifs_read_ops_max,Usage (CIFS) - Number of Reads per Second Max,en
column,cifs_read_ops_min,Usage (CIFS) - Number of Reads per Second Min,en
column,cifs_write_data,Usage (CIFS) - Bytes Written per Second,en
column,cifs_write_data_max,Usage (CIFS) - Bytes Written per Second Max,en
column,cifs_write_data_min,Usage (CIFS) - Bytes Written per Second Min,en
column,cifs_write_latency,Usage (CIFS) - Time for Writes Avg,en
column,cifs_write_latency_max,Usage (CIFS) - Time for Writes Avg Max,en
column,cifs_write_latency_min,Usage (CIFS) - Time for Writes Avg Min,en
column,cifs_write_ops,Usage (CIFS) - Number of Writes per Second,en
column,cifs_write_ops_max,Usage (CIFS) - Number of Writes per Second Max,en
column,cifs_write_ops_min,Usage (CIFS) - Number of Writes per Second Min,en

column,config_xml,Configuration XML,en
column,count_of_trend,Data Points,en
column,cpu_affinity,CPU Affinity,en
column,cpu_limit,CPU Limit,en
column,cpu_reserve,CPU Reserve,en
column,cpu_reserve_expand,CPU Reserve Expand,en
column,cpu_shares,CPU Shares,en
column,cpu_shares_level,CPU Shares Level,en
column,cpu_time,CPU Time,en

column,cpu_ready_delta_summation,CPU - Aggregate Time Child VMs Spent in Ready State (ms),en
column,VmPerformance.cpu_ready_delta_summation,CPU - Time Spent In Ready State (ms),en

column,cpu_speed,CPU Speed,en

column,cpu_system_delta_summation,CPU - Aggregate Time Child VMs Spent in System State (ms),en
column,VmPerformance.cpu_system_delta_summation,CPU - Time Spent in System State (ms),en

column,cpu_type,CPU Type,en

column,cpu_usage_rate_average,CPU - Usage Rate for Collected Intervals (%),en
column,EmsClusterPerformance.cpu_usage_rate_average,CPU - Aggregate Usage Rate for Child Hosts for Collected Intervals (%),en

column,cpu_usagemhz_rate_average,CPU - Aggregate Usage Rate for Child VMs for Collected Intervals (MHz),en
column,cpu_usagemhz_rate_average_avg_over_time_period,CPU - Aggregate Usage Rate for Child VMs for Collected Intervals 30 Day Avg (MHz),en
column,cpu_usagemhz_rate_average_low_over_time_period,CPU - Aggregate Usage Rate for Child VMs for Collected Intervals 30 Day Low Avg (MHz),en
column,cpu_usagemhz_rate_average_high_over_time_period,CPU - Aggregate Usage Rate for Child VMs for Collected Intervals 30 Day High Avg (MHz),en
column,cpu_usagemhz_rate_average_max_over_time_period,CPU - Aggregate Usage Rate for Child VMs for Collected Intervals 30 Day Max (MHz),en
column,VmPerformance.cpu_usagemhz_rate_average,CPU - Usage Rate for Collected Intervals (MHz),en
column,Vm.cpu_usagemhz_rate_average_avg_over_time_period,CPU - Usage Rate for Collected Intervals 30 Day Avg (MHz),en
column,Vm.cpu_usagemhz_rate_average_low_over_time_period,CPU - Usage Rate for Collected Intervals 30 Day Low Avg (MHz),en
column,Vm.cpu_usagemhz_rate_average_high_over_time_period,CPU - Usage Rate for Collected Intervals 30 Day High Avg (MHz),en

column,cpu_used_delta_summation,CPU - Aggregate Time Used for Child VMs (ms),en
column,VmPerformance.cpu_used_delta_summation,CPU - Time Used (ms),en

column,cpu_wait_delta_summation,CPU - Aggregate Time Spent in Wait State for Child VMs (ms),en
column,VmPerformance.cpu_wait_delta_summation,CPU - Time Spent in Wait State (ms),en

column,created_at,Date Created,en
column,created_on,Date Created,en
column,depend_on_group,Depends on Group,en
column,depend_on_service,Depends on Service,en

column,derived_cpu_available,CPU Total Installed,en
column,EmsClusterPerformance.derived_cpu_available,CPU - Total Installed - Sum of Child Hosts (MHz),en
column,HostPerformance.derived_cpu_available,CPU - Total Installed - from Host Analysis (MHz),en
column,VmPerformance.derived_cpu_available,CPU - Total - from VM Analysis (MHz),en

column,derived_cpu_reserved,CPU - Available (MHz),en
column,VmPerformance.derived_cpu_reserved,CPU - Reserved (MHz),en

column,v_derived_cpu_reserved_pct,CPU - Available (%),en
column,VmPerformance.v_derived_cpu_reserved_pct,CPU - Reserved (%),en

column,derived_memory_available,Memory - Total Allocated for Child VMs (MB),en
column,VmPerformance.derived_memory_available,Memory - Total Allocated (MB),en

column,derived_memory_used,Memory - Aggregate Used for Child VMs for Collected Intervals (MB),en
column,derived_memory_used_avg_over_time_period,Memory - Aggregate Used for Child VMs for Collected Intervals 30 Day Avg (MB),en
column,derived_memory_used_low_over_time_period,Memory - Aggregate Used for Child VMs for Collected Intervals 30 Day Low Avg (MB),en
column,derived_memory_used_high_over_time_period,Memory - Aggregate Used for Child VMs for Collected Intervals 30 Day High Avg (MB),en
column,derived_memory_used_max_over_time_period,Memory - Aggregate Used for Child VMs for Collected Intervals 30 Day Max (MB),en
column,VmPerformance.derived_memory_used,Memory - Avg Used for Collected Intervals (MB),en
column,Vm.derived_memory_used_avg_over_time_period,Memory - Avg Used for Collected Intervals 30 Day Avg (MB),en
column,Vm.derived_memory_used_low_over_time_period,Memory - Avg Used for Collected Intervals 30 Day Low Avg (MB),en
column,Vm.derived_memory_used_high_over_time_period,Memory - Avg Used for Collected Intervals 30 Day High Avg (MB),en

column,derived_memory_reserved,Memory - Available (MB),en
column,VmPerformance.derived_memory_reserved,Memory - Reserved (MB),en

column,v_derived_memory_reserved_pct,Memory - Available (%),en
column,VmPerformance.v_derived_memory_reserved_pct,Memory - Reserved (%),en

column,v_derived_host_count,State - Number of Hosts  - Hourly Count / Daily Avg,en
column,derived_host_count_off,State - Number of Hosts Powered Off  - Hourly Count / Daily Avg,en
column,derived_host_count_on,State - Number of Hosts Powered On  - Hourly Count / Daily Avg,en
column,derived_storage_disk_managed,Content - Avg of Total Size of Managed VMs Disk Files (B),en
column,derived_storage_disk_registered,Content - Avg of Total Size of Registered VMs Disk Files (B),en
column,derived_storage_disk_unmanaged,Content - Avg of Total Size of Unmanaged VMs Disk Files (B),en
column,derived_storage_disk_unregistered,Content - Avg of Total Size of Unregistered VMs Disk Files (B),en
column,derived_storage_free,Capacity - Avg Free Space for Collected Intervals (B),en
column,derived_storage_mem_managed,Content - Avg of Total Size of Managed VMs Memory Files (B),en
column,derived_storage_mem_registered,Content - Avg of Total Size of Registered VMs Memory Files (B),en
column,derived_storage_mem_unmanaged,Content - Avg of Total Size of Unmanaged VMs Memory Files (B),en
column,derived_storage_mem_unregistered,Content - Avg of Total Size of Unregistered VMs Memory Files (B),en
column,derived_storage_snapshot_managed,Content - Avg of Total Size of Managed VMs Snapshot Files (B),en
column,derived_storage_snapshot_registered,Content - Avg of Total Size of Registered VMs Snapshot Files (B),en
column,derived_storage_snapshot_unmanaged,Content - Avg of Total Size of Unmanaged VMs Snapshot Files (B),en
column,derived_storage_snapshot_unregistered,Content - Avg of Total Size of Unregistered VMs Snapshot Files (B),en
column,derived_storage_total,Capacity - Total Space (B),en
column,derived_storage_used_managed,Content - Avg Space Used by Managed VMs for Collected Intervals (B),en
column,derived_storage_used_registered,Content - Avg Space Used by Registered VMs for Collected Intervals (B),en
column,derived_storage_used_unmanaged,Content - Avg Space Used by Unmanaged VMs for Collected Intervals (B),en
column,derived_storage_used_unregistered,Content - Avg Space Used by Unregistered VMs for Collected Intervals (B),en
column,derived_storage_vm_count_managed,Content - Avg Count of Managed VMs,en
column,derived_storage_vm_count_registered,Content - Avg Count of Registered VMs,en
column,derived_storage_vm_count_unmanaged,Content - Avg Count of Unmanaged VMs,en
column,derived_storage_vm_count_unregistered,Content - Avg Count of Unregistered VMs,en
column,v_derived_vm_count,State - Peak Avg VMs - Hourly Count / Daily Avg,en
column,derived_vm_count_off,State - Peak Avg VMs Powered-off - Hourly Count / Daily Avg,en
column,derived_vm_count_on,State - Peak Avg VMs Powered-On - Hourly Count / Daily Avg,en
column,dest_host_name,Destination Host Name,en
column,dest_vm_location,Destination VM Location,en
column,dest_vm_name,Destination VM Name,en
column,dhcp_enabled,DHCP Enabled,en
column,dhcp_server,DHCP Server,en

column,direction_of_trend,Trend,en

column,disk_usage_rate_average,Disk I/O - Avg (KBps),en
column,disk_devicelatency_absolute_average,Disk Latency - Avg (ms),en
column,disk_kernellatency_absolute_average,Disk Kernel Latency - Avg (ms),en
column,disk_queuelatency_absolute_average,Disk Queue Latency - Avg (ms),en
column,EmsClusterPerformance.disk_usage_rate_average,Disk I/O - Aggregate of Avg for Child Hosts (KBps),en

column,disks_aligned,Disks Aligned,en
column,dns_server,DNS Server,en
column,emstype_description,Type,en
column,ems_cluster_name,Cluster,en
column,enabled,Active,en
column,end_trend_value,End,en
column,event_src,Event Source,en
column,evaluation_description,What is evaluated,en
column,effective_cpu,CPU - Effective,en
column,effective_memory,Memory - Effective,en
column,filename,File Name,en
column,fqname,Fully Qualified Name,en
column,guest_os,Guest OS,en
column,guid,EVM Unique ID (Guid),en
column,has_rdm_disk,Has an RDM Disk?,en
column,homedir,Home Directory,en
column,host_name,Parent Host,en
column,hostnames,Host Names,en
column,ipaddress,IP Address,en
column,ip_address,IP Address,en
column,ipaddresses,IP Addresses,en
column,ip_addresses,IP Addresses,en
column,ipmi_address,IPMI IP Address,en
column,ipmi_enabled,IPMI Enabled,en
column,is_evm_appliance,Is an EVM Appliance?,en
column,last_scan_attempt_on,Last Analysis Attempt On,en
column,last_scan_on,Last Analysis Time,en
column,last_sync_on,Last Sync Time,en
column,last_update_status_str,Last Update Status,en
column,logical_cpus,Number of CPU Cores,en
column,macaddress,MAC Address,en
column,mac_address,MAC Address,en
column,macaddresses,MAC Addresses,en
column,mac_addresses,MAC Addresses,en

column,max_cpu_usagemhz_rate_average,CPU - Peak Usage Rate for Collected Intervals (MHz),en
column,EmsClusterPerformance.max_cpu_usagemhz_rate_average,CPU - Peak Usage Rate Avg for Child Hosts for Collected intervals (MHz),en

column,max_cpu_usage_rate_average,CPU - Peak Usage Rate Avg for Collected Intervals (%),en
column,max_cpu_usage_rate_average_low_over_time_period,CPU - Peak Usage Rate Avg for Collected Intervals 30 Day Low Avg (%),en
column,max_cpu_usage_rate_average_low_over_time_period_without_overhead,CPU - Peak Usage Rate Avg for Collected Intervals Without Host Overhead 30 Day Low Avg (%),en
column,max_cpu_usage_rate_average_avg_over_time_period,CPU - Peak Usage Rate Avg for Collected Intervals 30 Day Avg (%),en
column,max_cpu_usage_rate_average_avg_over_time_period_without_overhead,CPU - Peak Usage Rate Avg for Collected Intervals Without Host Overhead 30 Day Avg (%),en
column,max_cpu_usage_rate_average_high_over_time_period,CPU - Peak Usage Rate Avg for Collected Intervals 30 Day High Avg (%),en
column,max_cpu_usage_rate_average_high_over_time_period_without_overhead,CPU - Peak Usage Rate Avg for Collected Intervals Without Host Overhead 30 Day High Avg (%),en
column,max_cpu_usage_rate_average_max_over_time_period,CPU - Peak Usage Rate for Collected Intervals 30 Day Max (%),en
column,max_cpu_usage_rate_average_max_over_time_period_without_overhead,CPU - Peak Usage Rate for Collected Intervals Without Host Overhead 30 Day Max (%),en
column,EmsClusterPerformance.max_cpu_usage_rate_average,CPU - Peak Usage Rate Avg for Child Hosts for Collected Intervals (%),en
column,EmsClusterPerformance.max_cpu_usage_rate_average_low_over_time_period,CPU - Peak Usage Rate Avg for Child Hosts for Collected Intervals 30 Day Low Avg (%),en
column,EmsClusterPerformance.max_cpu_usage_rate_average_low_over_time_period_without_overhead,CPU - Peak Usage Rate Avg for Child Hosts for Collected Intervals Without Host Overhead 30 Day Low Avg (%),en
column,EmsClusterPerformance.max_cpu_usage_rate_average_avg_over_time_period,CPU - Peak Usage Rate Avg for Child Hosts for Collected Intervals 30 Day Avg (%),en
column,EmsClusterPerformance.max_cpu_usage_rate_average_avg_over_time_period_without_overhead,CPU - Peak Usage Rate Avg for Child Hosts for Collected Intervals Without Host Overhead 30 Day Avg (%),en
column,EmsClusterPerformance.max_cpu_usage_rate_average_high_over_time_period,CPU - Peak Usage Rate Avg for Child Hosts for Collected Intervals 30 Day High Avg (%),en
column,EmsClusterPerformance.max_cpu_usage_rate_average_high_over_time_period_without_overhead,CPU - Peak Usage Rate Avg for Child Hosts for Collected Intervals Without Host Overhead 30 Day High Avg (%),en

column,max_derived_cpu_available,CPU Max Total MHz,en
column,max_derived_cpu_reserved,CPU Max Available MHz,en
column,VmPerformance.max_derived_cpu_reserved,CPU Max Reserved MHz,en
column,max_derived_host_count_on,State - Peak Number of Hosts Powered On  - Hourly Count / Daily Avg,en
column,max_derived_host_count_off,State - Peak Number of Hosts Powered Off  - Hourly Count / Daily Avg,en
column,max_derived_memory_available,Memory Max Total,en
column,VmPerformance.max_derived_memory_available,Memory Max Allocated,en
column,max_derived_memory_reserved,Memory Max Available,en
column,VmPerformance.max_derived_memory_reserved,Memory Max Reserved,en

column,max_derived_memory_used,Memory - Peak Aggregate Used for Child VMs for Collected Intervals (MB),en
column,VmPerformance.max_derived_memory_used,Memory - Peak Avg Used for Collected Intervals (MB),en

column,max_derived_storage_free,Disk Space Max Free,en
column,max_derived_storage_total,Disk Space Max Total,en
column,StoragePerformance.max_derived_storage_total,Disk Space Max Total,en
column,max_derived_vm_count_on,State - Peak Number of VMs Powered On  - Hourly Count / Daily Avg,en
column,max_derived_vm_count_off,State - Peak Number of VMs Powered Off  - Hourly Count / Daily Avg,en

column,max_disk_usage_rate_average,Disk I/O - Peak Avg for Collected Intervals (KBps),en
column,EmsClusterPerformance.max_disk_usage_rate_average,Disk I/O - Peak Avg for Child Hosts  for Collected Intervals (KBps),en

column,max_mem_usage_absolute_average,Memory - Peak Usage of Allocated for Collected Intervals (%),en
column,max_mem_usage_absolute_average_avg_over_time_period,Memory - Peak Usage of Allocated for Collected Intervals 30 Day Avg (%),en
column,max_mem_usage_absolute_average_avg_over_time_period_without_overhead,Memory - Peak Usage of Allocated for Collected Intervals Without Host Overhead 30 Day Avg (%),en
column,max_mem_usage_absolute_average_low_over_time_period,Memory - Peak Usage of Allocated for Collected Intervals 30 Day Low Avg (%),en
column,max_mem_usage_absolute_average_low_over_time_period_without_overhead,Memory - Peak Usage of Allocated for Collected Intervals Without Host Overhead 30 Day Low Avg (%),en
column,max_mem_usage_absolute_average_high_over_time_period,Memory - Peak Usage of Allocated for Collected Intervals 30 Day High Avg (%),en
column,max_mem_usage_absolute_average_high_over_time_period_without_overhead,Memory - Peak Usage of Allocated for Collected Intervals Without Host Overhead 30 Day High Avg (%),en
column,max_mem_usage_absolute_average_max_over_time_period,Memory - Peak Usage of Allocated for Collected Intervals 30 Day Max (%),en
column,max_mem_usage_absolute_average_max_over_time_period_without_overhead,Memory - Peak Usage of Allocated for Collected Intervals Without Host Overhead 30 Day Max (%),en
column,EmsClusterPerformance.max_mem_usage_absolute_average,Memory - Peak Aggregate Usage of Allocated for Child Hosts for Collected Intervals (%),en
column,EmsClusterPerformance.max_mem_usage_absolute_average_avg_over_time_period,Memory - Peak Aggregate Usage of Allocated for Child Hosts for Collected Intervals 30 Day Avg (%),en
column,EmsClusterPerformance.max_mem_usage_absolute_average_avg_over_time_period_without_overhead,Memory - Peak Aggregate Usage of Allocated for Child Hosts for Collected Intervals Without Host Overhead 30 Day Avg (%),en
column,EmsClusterPerformance.max_mem_usage_absolute_average_low_over_time_period,Memory - Peak Aggregate Usage of Allocated for Child Hosts for Collected Intervals 30 Day Low Avg (%),en
column,EmsClusterPerformance.max_mem_usage_absolute_average_low_over_time_period_without_overhead,Memory - Peak Aggregate Usage of Allocated for Child Hosts for Collected Intervals Without Host Overhead 30 Day Low Avg (%),en
column,EmsClusterPerformance.max_mem_usage_absolute_average_high_over_time_period,Memory - Peak Aggregate Usage of Allocated for Child Hosts for Collected Intervals 30 Day High Avg (%),en
column,EmsClusterPerformance.max_mem_usage_absolute_average_high_over_time_period_without_overhead,Memory - Peak Aggregate Usage of Allocated for Child Hosts for Collected Intervals Without Host Overhead 30 Day High Avg (%),en

column,max_net_usage_rate_average,Network I/O - Peak Avg for Collected Intervals (KBps),en
column,EmsClusterPerformance.max_net_usage_rate_average,Network I/O - Peak Avg for Child Hosts for Collected Intervals (KBps),en

column,max_sys_uptime_absolute_latest,Uptime - Peak Uptime for Collected Intervals (Seconds),en
column,max_trend_value,Max,en
column,max_v_derived_storage_used,Disk Space Max Used,en
column,memory_cpu,RAM,en
column,mem_cpu,Memory,en
column,memory_size,Memory Usage,en

column,min_mem_vmmemctl_absolute_average,Memory - Balloon Min Average,en
column,min_mem_vmmemctltarget_absolute_average,Memory - Balloon Target Min Average,en
column,min_mem_swapin_absolute_average,Memory - Swap In Min Average,en
column,min_mem_swapout_absolute_average,Memory - Swap Out Min Average,en
column,min_mem_swapped_absolute_average,Memory - Swapped Min Average,en
column,min_mem_swaptarget_absolute_average,Memory - Swap Min Target Average,en
column,mem_vmmemctl_absolute_average,Memory - Balloon Average,en
column,mem_vmmemctltarget_absolute_average,Memory - Balloon Target Average,en
column,mem_swapin_absolute_average,Memory - Swap In Average,en
column,mem_swapout_absolute_average,Memory - Swap Out Average,en
column,mem_swapped_absolute_average,Memory - Swapped Average,en
column,mem_swaptarget_absolute_average,Memory - Swap Target Average,en
column,max_mem_vmmemctl_absolute_average,Memory - Balloon Max Average,en
column,max_mem_vmmemctltarget_absolute_average,Memory - Balloon Target Max Average,en
column,max_mem_swapin_absolute_average,Memory - Swap In Max Average,en
column,max_mem_swapout_absolute_average,Memory - Swap Out Max Average,en
column,max_mem_swapped_absolute_average,Memory - Swapped Max Average,en
